1000 10000
1 2057 30
3277 7887 18
886 604 36
7897 5375 37
4625 5107 35
9222 116 32
769 1491 3
5324 7054 17
658 1594 22
6165 4112 7
1574 9777 21
8829 644 34
2279 8192 17
1331 9245 5
2821 1421 19
633 757 2
495 6407 17
3503 4636 14
2617 2209 30
5977 4314 19
5629 615 19
7783 3422 14
2469 4882 38
499 6226 11
728 9124 37
9415 9874 34
8620 6670 19
8864 6138 17
8352 7488 7
7904 5631 7
1428 294 12
1630 7801 8
8691 220 2
8477 8917 26
5003 3918 22
2135 2815 9
110 8629 31
2370 2367 26
3546 9267 8
4402 3952 29
4103 4909 19
6678 3980 20
617 637 20
5369 9179 3
1371 9430 10
8531 6174 22
6979 5525 8
7707 3840 6
916 6455 1
3532 5954 14
5291 408 6
4658 753 11
5933 8136 8
3502 370 35
2032 3916 25
4679 72 10
6681 6800 16
5689 6599 35
1085 307 25
5076 1433 35
9024 2753 26
1969 4690 39
9828 1822 40
2347 8361 3
6428 3602 16
8496 7197 4
796 5427 14
9381 4864 23
5251 5278 31
5327 5438 11
8968 9746 26
7694 6779 40
4245 123 21
2085 636 28
5883 3845 34
9743 3077 24
4265 3581 32
6606 4405 22
7305 9846 13
5675 6550 27
3651 3852 24
1120 9951 18
5759 4869 31
9103 2220 25
7529 9364 21
9946 3197 34
805 4714 5
1156 6554 12
3350 7979 36
4798 1364 27
3458 3272 25
22 9839 5
478 5912 13
7105 9902 2
5041 6243 8
1722 2936 20
8740 1426 17
7999 4863 38
355 195 26
7451 9416 7
4712 9958 19
5124 6519 18
1798 4921 18
3526 3495 34
4164 7437 12
5017 520 7
3860 6641 15
2551 7545 24
41 4238 35
2108 8904 15
447 3497 18
5507 400 33
8597 5200 20
1220 1096 29
955 4897 40
7048 6036 5
3177 8610 9
2003 5158 19
7660 8932 18
2354 1250 24
3496 6623 15
1580 400 19
3458 2358 20
1679 2371 30
1810 5276 35
3031 8683 18
9746 2109 35
2452 431 32
1586 4899 28
1602 7027 2
376 4533 27
7841 3841 40
1045 7013 17
7274 4307 15
105 3343 40
2435 1133 34
6748 732 22
9755 2423 5
6269 9210 34
4234 1103 28
2899 6127 20
693 2304 32
9133 3845 6
4394 5525 7
6083 2473 15
879 56 12
6889 5508 27
6517 2384 6
7988 6412 5
6432 7623 6
2638 8177 34
9688 3271 38
5223 370 11
5740 6757 34
2966 1764 26
2325 1213 31
628 3684 33
4107 7184 14
9488 3910 27
66 517 26
3504 1679 25
480 9457 23
3409 3858 1
192 1586 3
8081 2548 35
2553 9002 34
5275 3517 35
558 8115 1
2548 8638 29
2050 1955 14
8989 2536 21
9358 4511 27
7695 9577 18
7119 2581 17
7708 7587 2
4504 8366 6
3474 6241 1
8170 470 40
5425 5285 38
3678 5209 12
2820 7209 7
2938 7926 35
4626 1689 4
4640 7586 31
907 5005 7
4165 2441 7
3557 4171 3
8370 4006 39
5195 6186 33
3798 5831 6
8034 6707 30
3994 7026 24
3460 333 16
6834 4112 20
7864 2689 12
5502 6644 7
4149 6569 25
1288 2308 19
2003 6042 13
3021 8724 14
1925 7933 33
3767 3682 26
6525 1618 6
1261 7378 22
3332 517 6
1861 5375 10
9987 8603 31
8693 7377 21
5181 7983 8
2189 7705 17
889 2988 34
3915 6853 8
4095 3809 9
7560 9372 34
1360 3125 23
9826 1626 19
5052 2137 35
6463 6277 28
2039 7522 23
6060 629 7
8897 6821 18
5744 3782 10
8624 5967 21
5430 7950 26
1927 2485 34
9423 7001 3
1221 1259 27
6308 3550 13
3321 1917 33
4607 1896 11
1690 1471 36
1626 773 34
8439 1215 8
562 8989 26
8612 2257 30
7405 2624 29
4907 9401 22
4493 9525 11
5866 4564 18
3721 7321 21
4971 91 38
1983 6714 15
9003 7554 15
6293 5742 10
2910 780 10
4819 1233 35
2817 3773 4
7924 5287 33
3041 5981 16
8180 4977 32
3845 3778 21
3629 4275 30
236 5229 20
3760 8934 18
9506 5407 16
8397 978 9
881 671 6
5888 9252 19
5742 8903 40
6506 2920 5
8629 7657 13
5512 6944 24
6727 3524 25
2700 7936 37
4386 8158 20
8490 7147 36
218 8732 37
632 943 7
7100 7823 4
4767 4752 20
1322 8006 6
4717 7115 13
259 6941 26
9769 7569 11
7950 1487 29
5698 7452 9
4856 1058 27
34 5357 22
3356 9336 19
7215 4321 10
2388 6576 29
969 2069 3
8565 1235 30
6827 374 29
1765 7722 40
767 7918 38
6081 7006 6
5286 7957 37
8266 8339 4
8109 7113 28
7229 670 33
8137 5915 30
9921 7827 37
5480 8130 35
5138 3728 12
8170 6348 22
798 4257 12
9719 9782 1
3863 6124 2
228 1881 28
4175 7437 32
7077 2905 37
2874 3115 2
4103 8769 30
3358 429 21
1106 5462 11
8379 3002 28
9628 1493 14
2343 5947 3
7006 8488 20
9577 3151 28
6043 2481 37
5947 1036 35
6889 40 29
6561 5596 26
6784 4280 11
3299 4068 5
5397 6104 38
4292 6530 33
1323 5967 5
9065 1993 21
5773 1952 30
2873 712 15
6919 4237 40
9396 8229 39
7866 7639 29
3795 2315 4
1102 9073 5
8514 8688 33
1283 6404 10
8372 3528 15
3003 7221 30
1052 5501 8
452 5637 22
6514 3400 5
1600 594 16
8084 3363 22
9187 6241 40
1257 492 35
4793 8995 17
129 4047 34
5871 9945 19
5857 2970 14
3888 3838 27
3166 2296 40
714 8196 38
1281 5509 33
7683 8048 17
7632 5171 35
4313 3130 34
9556 2467 7
99 713 10
4231 3513 16
1737 5792 33
6795 7820 34
3326 5672 12
7143 3030 29
3427 8087 20
9491 9471 19
9087 568 3
1576 4307 18
8467 3343 5
5656 5305 2
6676 3132 35
2234 9333 14
8566 2271 15
6458 1704 32
6368 5062 2
4221 9463 37
3763 4265 27
5552 1452 27
7123 1630 16
1935 2326 9
5244 9481 29
6491 8640 3
3687 1536 11
9911 1436 6
4404 8191 14
5868 5960 19
9084 8119 31
8210 3072 35
963 7373 26
8903 8171 25
6966 2058 27
5148 2299 22
4344 4707 5
42 5426 25
2580 8548 26
6674 3693 14
9262 9129 10
4649 865 31
5317 3288 8
7222 8721 15
4818 4813 4
2860 5367 28
951 2484 35
3954 1855 33
5267 7470 40
5323 3585 19
3792 2198 28
4128 1041 3
9003 87 35
2696 8019 36
8368 7148 38
7225 9512 23
78 3888 24
2479 5497 25
1654 4576 22
4173 4288 13
1392 4034 37
4234 9338 39
2530 8708 20
4674 4337 36
2364 5945 15
9911 4175 7
5644 634 17
1312 4199 29
7426 959 10
6126 7139 14
2515 6200 25
2781 5588 3
5409 6391 37
1613 9804 25
8584 1081 35
2501 3220 24
7670 3990 29
6822 8425 5
1980 8071 23
9884 6050 10
4579 3561 10
2877 7323 22
3158 3864 23
598 4714 30
1171 9379 23
5514 6969 38
6282 8311 1
4423 3774 4
2732 390 30
8133 5438 33
1927 3349 20
3751 5900 3
5686 8692 27
2307 5446 31
1551 6271 9
9640 1135 38
5708 4694 23
6236 345 25
3757 5698 28
7115 5973 15
1377 5325 16
4415 6743 39
1250 9116 34
3680 5842 34
4852 6999 15
4968 4006 1
2208 9188 37
7660 2771 6
8151 4260 18
7472 6599 29
7899 4925 38
960 6038 32
8557 2681 3
8358 6063 17
6588 5015 27
2392 5688 32
2018 2933 17
8221 789 17
1048 8422 2
3233 5038 40
7439 3251 37
2150 311 27
848 1783 36
4110 5000 2
1693 879 8
3392 2562 1
1658 7185 5
2988 6771 25
7290 2668 19
2076 9265 22
9617 6201 19
8453 7438 35
7611 5845 23
2278 1590 5
585 7256 12
4402 5487 30
6913 5122 7
3681 2215 39
1717 5312 6
7221 2631 40
5646 3502 10
5506 3882 19
7756 1388 25
2166 6003 19
505 9094 29
2624 1205 19
3496 296 7
844 4548 33
9856 5589 16
7498 1071 4
4385 2402 32
2318 7138 20
6910 8238 39
9929 5131 22
8219 4127 39
522 9532 25
2078 3801 28
2808 8694 38
3739 4529 33
8646 8003 38
4655 4258 36
1105 8383 24
2048 9719 14
8261 8248 34
3032 3534 32
8474 4742 40
7071 6661 32
3405 7315 12
8317 9824 28
8960 808 2
6095 9621 29
4438 7270 15
2259 875 29
5778 2746 9
3655 3582 24
3605 4657 12
8368 2408 14
2610 6868 13
7204 9589 4
2186 4935 32
4022 3914 4
2487 4048 25
